checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,510,side0-layout0-slot510,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,511,side0-layout1-slot511,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,512,side1-layout0-slot0,0,Orange,goal,Nexto,1360,11.333333333333334,2,6,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,513,side1-layout1-slot1,1,Orange,goal,Nexto,1232,10.266666666666667,1,4,Rival,0,0,4,1,0,0,0,0,0,0,0,0
plus_239,514,side1-layout2-slot2,2,Orange,goal,Nexto,1644,13.7,3,5,Rival,0,0,4,3,0,1,0,1,0,0,0,0
plus_239,515,side1-layout3-slot3,3,Orange,goal,Nexto,2284,19.033333333333335,3,8,Rival,2,0,9,6,1,0,1,0,0,0,0,0
plus_239,516,side1-layout4-slot4,4,Orange,goal,Nexto,2644,22.033333333333335,2,9,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,517,side1-layout0-slot5,0,Orange,goal,Nexto,1360,11.333333333333334,2,6,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,518,side1-layout1-slot6,1,Orange,goal,Nexto,1232,10.266666666666667,1,4,Rival,0,0,4,1,0,0,0,0,0,0,0,0
plus_239,519,side1-layout2-slot7,2,Orange,goal,Nexto,1644,13.7,3,5,Rival,0,0,4,3,0,1,0,1,0,0,0,0
plus_239,520,side1-layout3-slot8,3,Orange,goal,Nexto,2328,19.4,3,8,Rival,2,0,10,6,1,0,1,0,0,0,0,0
plus_239,521,side1-layout4-slot9,4,Orange,goal,Nexto,2644,22.033333333333335,2,9,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,522,side1-layout0-slot10,0,Orange,goal,Nexto,1360,11.333333333333334,2,6,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,523,side1-layout1-slot11,1,Orange,goal,Nexto,1232,10.266666666666667,1,4,Rival,0,0,4,1,0,0,0,0,0,0,0,0
plus_239,524,side1-layout2-slot12,2,Orange,goal,Nexto,1644,13.7,3,5,Rival,0,0,4,3,0,1,0,1,0,0,0,0
plus_239,525,side1-layout3-slot13,3,Orange,goal,Nexto,2328,19.4,3,8,Rival,2,0,10,6,1,0,1,0,0,0,0,0
plus_239,526,side1-layout4-slot14,4,Orange,goal,Nexto,2644,22.033333333333335,2,9,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,527,side1-layout0-slot15,0,Orange,goal,Nexto,1360,11.333333333333334,2,6,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,528,side1-layout1-slot16,1,Orange,goal,Nexto,1232,10.266666666666667,1,4,Rival,0,0,4,1,0,0,0,0,0,0,0,0
plus_239,529,side1-layout2-slot17,2,Orange,goal,Nexto,1644,13.7,3,5,Rival,0,0,4,3,0,1,0,1,0,0,0,0
plus_239,530,side1-layout3-slot18,3,Orange,goal,Nexto,2328,19.4,3,8,Rival,2,0,10,6,1,0,1,0,0,0,0,0
plus_239,531,side1-layout4-slot19,4,Orange,goal,Nexto,2644,22.033333333333335,2,9,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,532,side1-layout0-slot20,0,Orange,goal,Nexto,1360,11.333333333333334,2,6,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,533,side1-layout1-slot21,1,Orange,goal,Nexto,1232,10.266666666666667,1,4,Rival,0,0,4,1,0,0,0,0,0,0,0,0
plus_239,534,side1-layout2-slot22,2,Orange,goal,Nexto,1644,13.7,3,5,Rival,0,0,4,3,0,1,0,1,0,0,0,0
plus_239,535,side1-layout3-slot23,3,Orange,goal,Nexto,2284,19.033333333333335,3,8,Rival,2,0,9,6,1,0,1,0,0,0,0,0
plus_239,536,side1-layout4-slot24,4,Orange,goal,Nexto,2644,22.033333333333335,2,9,Rival,0,0,5,3,0,0,0,0,0,0,0,0
